date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2011-11-30,Q4,H100164,Apartment,Resale,1968,339220,1.55,7,180,1884.56,433 Sample Street,93151,Odense,Rural,Hovedstaden,1.5,1.62,0.95
2015-12-01,Q2,H100165,Townhouse,Resale,1991,303317,5.0,3,185,1639.55,496 Sample Street,39377,Aalborg,Rural,Syddanmark,3.73,1.09,2.0
2021-03-21,Q3,H100166,Apartment,New Sale,1984,245877,-3.59,9,45,5463.93,100 Sample Street,59573,Aalborg,Suburban,Nordjylland,4.74,1.42,1.96
2022-12-21,Q4,H100167,Condo,New Sale,1995,881037,6.22,5,194,4541.43,990 Sample Street,52733,Copenhagen,Rural,Hovedstaden,2.87,0.63,0.71
2012-05-04,Q4,H100168,Townhouse,New Sale,1975,396709,7.19,9,174,2279.94,599 Sample Street,21760,Aalborg,Urban,Syddanmark,2.93,2.97,0.19
2019-07-07,Q1,H100169,Villa,New Sale,2018,531725,5.6,7,66,8056.44,403 Sample Street,35762,Aalborg,Suburban,Hovedstaden,2.57,2.22,1.36
2014-09-04,Q1,H100170,Townhouse,Resale,2013,875553,9.51,7,74,11831.8,396 Sample Street,60986,Odense,Urban,Nordjylland,1.97,0.83,1.75
2017-08-09,Q4,H100171,Villa,Resale,1986,867865,7.4,6,235,3693.04,527 Sample Street,44332,Copenhagen,Urban,Hovedstaden,2.64,1.1,2.64
2014-09-30,Q2,H100172,Townhouse,New Sale,1998,617597,8.55,2,91,6786.78,415 Sample Street,50100,Aarhus,Rural,Syddanmark,3.21,0.86,2.79
2023-07-03,Q2,H100173,Townhouse,New Sale,1970,903900,9.0,9,48,18831.25,939 Sample Street,14944,Copenhagen,Rural,Syddanmark,4.94,2.64,1.63
2019-08-12,Q1,H100174,Townhouse,Resale,2013,487470,7.02,6,36,13540.83,613 Sample Street,58825,Aalborg,Rural,Hovedstaden,4.72,0.83,2.29
2010-07-22,Q1,H100175,Condo,Resale,1954,903725,5.11,8,278,3250.81,677 Sample Street,23877,Aarhus,Urban,Syddanmark,4.38,3.14,1.37
2018-11-30,Q4,H100176,Condo,New Sale,2019,408402,-4.91,1,146,2797.27,463 Sample Street,39990,Copenhagen,Suburban,Hovedstaden,4.5,0.57,2.26
2021-07-20,Q2,H100177,Apartment,New Sale,1953,874837,1.99,5,97,9018.94,541 Sample Street,65283,Copenhagen,Rural,Syddanmark,2.61,1.37,0.69
2022-04-24,Q3,H100178,Apartment,New Sale,1988,617815,3.57,1,63,9806.59,626 Sample Street,13258,Copenhagen,Rural,Hovedstaden,3.46,3.62,1.18
2012-02-06,Q1,H100179,Villa,New Sale,1984,913659,-0.44,8,223,4097.13,619 Sample Street,41629,Copenhagen,Urban,Hovedstaden,4.53,3.01,1.94
2022-01-07,Q4,H100180,Condo,Resale,1950,967996,-0.23,8,84,11523.76,922 Sample Street,47579,Odense,Suburban,Hovedstaden,2.27,0.76,0.15
2016-05-16,Q3,H100181,Villa,Resale,1973,798778,9.42,1,295,2707.72,364 Sample Street,32958,Copenhagen,Urban,Midtjylland,4.83,3.37,2.2
2018-01-10,Q2,H100182,Apartment,Resale,2006,189883,8.38,9,71,2674.41,130 Sample Street,49465,Aalborg,Rural,Syddanmark,2.37,2.23,2.52
2010-07-17,Q2,H100183,Villa,New Sale,2019,667632,7.74,2,260,2567.82,84 Sample Street,95853,Aalborg,Urban,Nordjylland,3.2,3.46,1.26
2015-04-15,Q3,H100184,Apartment,New Sale,1990,205344,1.09,9,39,5265.23,271 Sample Street,25775,Odense,Rural,Hovedstaden,3.69,2.6,1.4
2019-10-23,Q3,H100185,Condo,Resale,2003,515226,-4.79,1,157,3281.69,244 Sample Street,86575,Aarhus,Suburban,Midtjylland,4.78,2.89,2.57
2011-09-01,Q3,H100186,Townhouse,Resale,1995,797852,-3.8,9,208,3835.83,388 Sample Street,44207,Aarhus,Urban,Nordjylland,1.6,3.98,2.35
2018-12-17,Q3,H100187,Condo,Resale,2009,621441,-0.32,4,222,2799.28,214 Sample Street,32553,Aalborg,Rural,Hovedstaden,3.86,1.31,0.94
2013-02-21,Q3,H100188,Villa,Resale,2009,158042,-4.76,9,121,1306.13,818 Sample Street,63632,Aalborg,Rural,Nordjylland,2.84,2.68,1.04
2021-09-22,Q2,H100189,Villa,New Sale,2006,104110,-4.74,7,260,400.42,166 Sample Street,10055,Odense,Rural,Midtjylland,1.71,2.11,2.07
2019-04-21,Q3,H100190,Condo,Resale,1980,195051,8.75,6,107,1822.91,791 Sample Street,98697,Aarhus,Rural,Nordjylland,3.99,0.64,1.73
2016-11-16,Q1,H100191,Condo,Resale,1973,815419,5.59,5,114,7152.8,59 Sample Street,42873,Aarhus,Urban,Hovedstaden,2.99,0.55,0.57
2014-11-30,Q3,H100192,Apartment,Resale,1985,813461,-0.37,9,59,13787.47,602 Sample Street,90720,Copenhagen,Rural,Nordjylland,3.47,0.92,1.0
2011-10-22,Q2,H100193,Villa,Resale,1979,78328,-3.01,2,242,323.67,883 Sample Street,76205,Copenhagen,Urban,Nordjylland,1.95,2.77,2.71
2017-09-12,Q2,H100194,Villa,Resale,1973,687199,2.67,2,78,8810.24,843 Sample Street,88199,Copenhagen,Rural,Hovedstaden,2.67,2.49,2.1
2013-10-01,Q1,H100195,Condo,Resale,1979,325011,-4.92,9,294,1105.48,924 Sample Street,35318,Odense,Urban,Midtjylland,3.28,2.44,2.96
2015-06-10,Q4,H100196,Townhouse,Resale,1956,109234,9.08,3,174,627.78,504 Sample Street,43734,Aalborg,Urban,Midtjylland,2.32,0.61,2.32
2010-05-27,Q2,H100197,Villa,New Sale,1984,862283,1.22,8,98,8798.81,706 Sample Street,92227,Odense,Rural,Nordjylland,1.39,2.14,2.83
2018-10-25,Q1,H100198,Townhouse,New Sale,2004,867711,1.04,9,87,9973.69,123 Sample Street,28522,Aarhus,Rural,Syddanmark,4.83,3.74,0.73
2017-12-21,Q3,H100199,Condo,New Sale,1963,822791,0.86,8,214,3844.82,648 Sample Street,21656,Aalborg,Rural,Nordjylland,2.8,1.89,2.34
2014-10-01,Q4,H100200,Condo,New Sale,1959,277135,-3.96,4,91,3045.44,413 Sample Street,25893,Copenhagen,Rural,Syddanmark,3.8,2.69,0.16
2015-01-18,Q1,H100201,Apartment,Resale,1965,647690,4.57,1,195,3321.49,139 Sample Street,26493,Odense,Suburban,Nordjylland,2.35,3.23,2.05
2011-05-04,Q2,H100202,Villa,New Sale,2003,851881,6.0,4,200,4259.4,229 Sample Street,13632,Odense,Rural,Midtjylland,2.1,3.24,1.46
2018-02-24,Q1,H100203,Townhouse,New Sale,2019,388365,5.14,9,92,4221.36,274 Sample Street,98648,Copenhagen,Rural,Nordjylland,2.33,2.32,1.11
2015-05-14,Q2,H100204,Apartment,Resale,1993,925512,-2.92,2,176,5258.59,439 Sample Street,71779,Odense,Rural,Nordjylland,2.34,3.5,2.6
2016-07-13,Q4,H100205,Villa,Resale,2022,579739,3.68,3,190,3051.26,562 Sample Street,48452,Copenhagen,Urban,Syddanmark,2.95,1.87,2.58
2017-12-29,Q1,H100206,Apartment,New Sale,1994,137178,3.54,8,170,806.93,910 Sample Street,23266,Aarhus,Rural,Midtjylland,2.95,3.61,0.16
2022-12-20,Q3,H100207,Condo,New Sale,2005,900193,8.03,6,126,7144.39,118 Sample Street,71607,Aalborg,Urban,Syddanmark,2.74,1.34,1.87
2014-12-08,Q2,H100208,Villa,Resale,2006,286562,0.69,8,250,1146.25,714 Sample Street,26940,Aarhus,Urban,Nordjylland,1.11,1.48,1.17
2021-02-13,Q2,H100209,Apartment,New Sale,1970,351014,0.57,7,72,4875.19,995 Sample Street,34003,Aarhus,Urban,Hovedstaden,2.73,0.69,1.31
2019-03-24,Q4,H100210,Apartment,Resale,2017,408710,4.28,5,137,2983.28,905 Sample Street,44815,Copenhagen,Urban,Nordjylland,1.26,3.28,2.51
2010-09-20,Q2,H100211,Townhouse,Resale,1999,435893,4.5,9,295,1477.6,483 Sample Street,40869,Odense,Suburban,Nordjylland,1.07,1.96,1.0
2011-09-16,Q3,H100212,Apartment,Resale,1982,173765,2.04,4,124,1401.33,395 Sample Street,59297,Aarhus,Rural,Syddanmark,4.7,1.3,2.83
2012-10-13,Q1,H100213,Villa,Resale,1956,437025,1.65,6,291,1501.8,703 Sample Street,70107,Aarhus,Urban,Hovedstaden,3.22,1.31,0.62
2019-12-23,Q4,H100214,Villa,New Sale,2019,998377,2.41,2,100,9983.77,876 Sample Street,92793,Aarhus,Rural,Hovedstaden,3.47,3.65,2.02
2023-08-17,Q4,H100215,Townhouse,Resale,1964,178389,7.92,2,248,719.31,460 Sample Street,26682,Odense,Urban,Syddanmark,2.31,3.42,2.05
2015-08-12,Q4,H100216,Villa,Resale,1981,763987,1.92,2,50,15279.74,835 Sample Street,29622,Odense,Suburban,Midtjylland,4.59,2.44,0.83
2020-03-12,Q3,H100217,Condo,New Sale,1969,247227,9.1,7,121,2043.2,693 Sample Street,40408,Copenhagen,Urban,Hovedstaden,3.37,2.66,1.04
2022-06-15,Q3,H100218,Villa,Resale,1964,542402,2.56,2,156,3476.94,935 Sample Street,18837,Aarhus,Rural,Hovedstaden,3.96,2.16,2.52
2018-07-06,Q2,H100219,Villa,New Sale,1997,861804,9.24,2,109,7906.46,78 Sample Street,74210,Aalborg,Rural,Syddanmark,2.16,1.87,2.31
2021-03-14,Q2,H100220,Apartment,New Sale,2020,840074,7.49,9,267,3146.34,952 Sample Street,25407,Odense,Suburban,Midtjylland,4.82,3.7,1.05
2015-08-19,Q1,H100221,Apartment,New Sale,1970,310220,0.44,7,211,1470.24,412 Sample Street,39309,Copenhagen,Rural,Midtjylland,4.19,0.94,1.65
2018-09-06,Q3,H100222,Villa,Resale,1991,471217,7.95,3,54,8726.24,75 Sample Street,81918,Aarhus,Rural,Nordjylland,4.34,1.96,0.28
2014-08-10,Q4,H100223,Townhouse,New Sale,1975,346208,-3.35,3,185,1871.39,295 Sample Street,28895,Aalborg,Urban,Nordjylland,1.27,1.71,0.71
2016-03-05,Q3,H100224,Apartment,New Sale,1963,800186,8.88,7,34,23534.88,793 Sample Street,96912,Odense,Rural,Syddanmark,1.72,2.24,1.51
2013-02-28,Q2,H100225,Townhouse,Resale,2006,850554,4.47,5,149,5708.42,21 Sample Street,10370,Aalborg,Urban,Midtjylland,1.79,2.1,0.35
2022-04-27,Q1,H100226,Villa,New Sale,1986,992324,-4.18,6,47,21113.28,906 Sample Street,10486,Odense,Suburban,Syddanmark,1.72,2.32,2.55
2018-09-27,Q2,H100227,Villa,New Sale,2007,118431,4.66,8,227,521.72,171 Sample Street,33762,Copenhagen,Rural,Nordjylland,4.35,0.99,2.18
2014-08-24,Q1,H100228,Condo,New Sale,1970,105745,9.61,9,86,1229.59,15 Sample Street,36613,Aalborg,Urban,Syddanmark,0.64,2.3,2.84
2020-12-05,Q1,H100229,Apartment,New Sale,2018,100081,-3.95,1,122,820.34,211 Sample Street,13196,Aarhus,Rural,Syddanmark,0.84,1.35,2.11
2022-12-07,Q3,H100230,Villa,New Sale,1952,976215,3.32,3,48,20337.81,560 Sample Street,86349,Aarhus,Urban,Hovedstaden,1.73,1.15,2.83
2022-10-27,Q2,H100231,Condo,Resale,1986,266204,6.22,7,222,1199.12,86 Sample Street,74839,Odense,Suburban,Hovedstaden,1.4,0.73,1.71
2014-07-07,Q2,H100232,Apartment,New Sale,1998,986297,7.15,6,266,3707.88,149 Sample Street,51916,Aarhus,Urban,Hovedstaden,1.54,3.17,1.84
2013-12-16,Q3,H100233,Villa,New Sale,1968,451415,1.21,7,256,1763.34,700 Sample Street,18572,Aalborg,Rural,Nordjylland,4.09,2.0,2.93
2021-07-01,Q3,H100234,Villa,Resale,1961,650541,-1.94,8,262,2482.98,372 Sample Street,38225,Copenhagen,Urban,Syddanmark,3.03,2.69,1.96
2020-09-28,Q3,H100235,Apartment,Resale,2010,348335,-4.36,6,69,5048.33,480 Sample Street,55853,Odense,Rural,Hovedstaden,0.53,3.05,0.19
2010-09-11,Q1,H100236,Apartment,Resale,1990,846643,3.7,3,182,4651.88,818 Sample Street,59390,Aalborg,Suburban,Hovedstaden,2.43,2.88,2.2
2018-09-19,Q2,H100237,Apartment,New Sale,1982,161086,1.79,2,156,1032.6,151 Sample Street,42275,Odense,Urban,Hovedstaden,2.34,2.15,2.73
2017-01-01,Q2,H100238,Villa,Resale,1999,506285,9.23,7,266,1903.33,141 Sample Street,82379,Copenhagen,Rural,Nordjylland,1.01,1.86,2.41
2010-04-09,Q2,H100239,Villa,New Sale,2017,464758,-4.09,1,84,5532.83,69 Sample Street,11105,Odense,Rural,Nordjylland,3.54,1.82,1.79
2016-01-10,Q2,H100240,Condo,New Sale,2020,474528,5.28,3,201,2360.84,260 Sample Street,69896,Aarhus,Rural,Syddanmark,3.66,2.74,2.05
2018-02-09,Q1,H100241,Townhouse,Resale,1982,488458,-4.63,4,138,3539.55,988 Sample Street,53209,Aarhus,Urban,Syddanmark,3.74,2.23,2.97
2023-08-14,Q2,H100242,Apartment,Resale,1973,938403,-2.43,1,213,4405.65,846 Sample Street,52487,Odense,Urban,Syddanmark,3.78,3.47,0.36
2022-02-20,Q2,H100243,Villa,New Sale,2010,668071,1.8,5,227,2943.04,968 Sample Street,28051,Copenhagen,Urban,Hovedstaden,0.5,3.56,2.04
2020-05-05,Q2,H100244,Villa,Resale,2010,699969,1.82,3,116,6034.22,521 Sample Street,87400,Copenhagen,Suburban,Midtjylland,4.79,1.1,0.92
2017-11-09,Q2,H100245,Apartment,New Sale,1977,662181,5.29,2,230,2879.05,633 Sample Street,76961,Aarhus,Rural,Nordjylland,4.16,0.98,1.96
2018-11-09,Q2,H100246,Townhouse,Resale,2007,549797,8.65,3,240,2290.82,371 Sample Street,70156,Copenhagen,Rural,Hovedstaden,4.57,2.71,1.86
2020-05-19,Q1,H100247,Apartment,Resale,1992,208763,4.59,8,147,1420.16,419 Sample Street,67175,Odense,Suburban,Hovedstaden,0.57,1.55,0.55
2012-08-14,Q2,H100248,Townhouse,Resale,1990,652248,9.3,6,220,2964.76,101 Sample Street,16849,Aalborg,Suburban,Syddanmark,4.7,0.56,0.7
2021-02-19,Q3,H100249,Villa,New Sale,1988,920820,8.22,7,71,12969.3,661 Sample Street,28976,Odense,Urban,Syddanmark,4.14,3.61,1.9
2010-06-10,Q3,H100250,Townhouse,Resale,1998,72601,3.77,6,71,1022.55,954 Sample Street,66866,Aarhus,Urban,Hovedstaden,4.27,1.29,0.47
2022-04-21,Q4,H100251,Condo,New Sale,1966,461236,7.51,6,46,10026.87,658 Sample Street,57078,Aarhus,Urban,Nordjylland,0.92,3.75,0.87
2013-07-24,Q4,H100252,Villa,New Sale,2019,189227,4.64,3,287,659.33,865 Sample Street,41113,Aarhus,Urban,Nordjylland,3.82,3.01,2.52
2023-06-13,Q1,H100253,Condo,New Sale,2019,774479,-3.82,8,92,8418.25,968 Sample Street,25401,Copenhagen,Urban,Hovedstaden,4.82,3.17,1.05
2020-12-01,Q1,H100254,Apartment,New Sale,2014,742137,6.11,7,91,8155.35,243 Sample Street,22884,Odense,Urban,Midtjylland,3.55,1.21,1.52
2014-03-08,Q1,H100255,Apartment,Resale,1954,331854,-3.58,7,129,2572.51,753 Sample Street,94360,Aalborg,Suburban,Midtjylland,3.07,1.32,2.83
2013-05-03,Q4,H100256,Apartment,New Sale,1951,420858,3.91,6,48,8767.88,512 Sample Street,47563,Odense,Suburban,Nordjylland,4.76,2.32,0.76
2022-04-24,Q3,H100257,Townhouse,New Sale,1971,729892,5.54,5,46,15867.22,849 Sample Street,44414,Aalborg,Suburban,Syddanmark,2.49,1.1,1.23
2022-12-19,Q4,H100258,Villa,Resale,2006,703015,-4.0,8,275,2556.42,555 Sample Street,26142,Odense,Rural,Midtjylland,3.2,1.57,1.86
2018-07-02,Q2,H100259,Apartment,New Sale,2015,986105,-1.54,5,280,3521.8,95 Sample Street,81492,Aarhus,Rural,Midtjylland,2.64,1.63,2.29
2017-06-28,Q3,H100260,Apartment,Resale,1965,637515,8.74,9,110,5795.59,226 Sample Street,89464,Aalborg,Urban,Syddanmark,4.7,1.06,2.71
2022-06-22,Q3,H100261,Villa,New Sale,2000,710327,4.24,9,68,10445.99,518 Sample Street,85257,Odense,Suburban,Midtjylland,0.84,1.22,2.75
2012-08-12,Q4,H100262,Apartment,Resale,1988,658577,-1.31,1,65,10131.95,214 Sample Street,86693,Copenhagen,Rural,Hovedstaden,2.76,3.26,2.35
2022-07-02,Q4,H100263,Condo,New Sale,1989,201094,5.36,6,226,889.8,718 Sample Street,45135,Copenhagen,Rural,Midtjylland,3.59,1.09,0.76
2019-06-09,Q4,H100264,Villa,Resale,1987,486679,3.95,7,187,2602.56,67 Sample Street,82232,Odense,Suburban,Syddanmark,4.06,0.6,0.17
2012-11-11,Q2,H100265,Villa,New Sale,2009,780031,2.52,3,233,3347.77,396 Sample Street,37862,Aarhus,Rural,Hovedstaden,3.12,2.7,1.21
2014-08-21,Q4,H100266,Villa,New Sale,2008,842154,9.64,7,225,3742.91,612 Sample Street,15190,Aalborg,Rural,Midtjylland,4.59,3.92,0.51
2019-05-30,Q4,H100267,Condo,Resale,1959,732773,5.25,7,245,2990.91,12 Sample Street,80199,Odense,Suburban,Nordjylland,4.74,1.66,2.16
2011-07-17,Q1,H100268,Villa,Resale,2013,917482,0.63,2,225,4077.7,237 Sample Street,14331,Copenhagen,Rural,Hovedstaden,0.79,0.92,2.02
2016-10-21,Q2,H100269,Condo,Resale,2012,552648,7.0,7,181,3053.3,834 Sample Street,62186,Aalborg,Suburban,Hovedstaden,2.31,2.5,0.23
2019-03-09,Q3,H100270,Villa,Resale,1998,808108,8.27,1,43,18793.21,770 Sample Street,54648,Copenhagen,Rural,Nordjylland,0.61,3.67,2.53
2010-08-14,Q3,H100271,Townhouse,New Sale,2013,811282,-3.12,5,175,4635.9,399 Sample Street,38549,Copenhagen,Suburban,Nordjylland,1.98,3.24,0.82
2023-05-26,Q1,H100272,Apartment,New Sale,1981,529083,-1.99,9,86,6152.13,407 Sample Street,91782,Odense,Rural,Midtjylland,2.92,2.68,1.35
2012-08-17,Q4,H100273,Townhouse,Resale,1956,395740,-1.76,7,240,1648.92,925 Sample Street,35761,Copenhagen,Rural,Midtjylland,4.6,1.6,2.04
2022-06-15,Q1,H100274,Apartment,New Sale,1970,903164,5.37,7,297,3040.96,849 Sample Street,13262,Aalborg,Suburban,Syddanmark,4.31,2.4,1.35
2018-05-26,Q4,H100275,Condo,Resale,1969,455513,4.05,2,239,1905.91,480 Sample Street,61259,Aarhus,Rural,Syddanmark,1.07,0.82,1.38
2012-03-26,Q4,H100276,Townhouse,Resale,1975,118323,4.28,8,46,2572.24,647 Sample Street,82572,Odense,Suburban,Hovedstaden,0.92,2.88,0.29
2023-01-07,Q4,H100277,Villa,New Sale,2017,335960,9.11,3,232,1448.1,222 Sample Street,63472,Aalborg,Suburban,Nordjylland,3.15,3.04,1.26
2022-09-17,Q2,H100278,Apartment,New Sale,1964,614983,6.64,8,128,4804.55,156 Sample Street,97858,Odense,Rural,Nordjylland,2.89,3.88,2.32
2018-07-18,Q3,H100279,Apartment,New Sale,1963,462918,-3.08,3,238,1945.03,654 Sample Street,94667,Copenhagen,Urban,Syddanmark,1.7,1.41,2.75
2010-01-17,Q4,H100280,Townhouse,New Sale,1976,468458,0.21,7,158,2964.92,428 Sample Street,14677,Copenhagen,Rural,Hovedstaden,4.55,0.56,1.3
2013-05-28,Q1,H100281,Condo,New Sale,1989,105841,1.53,2,281,376.66,158 Sample Street,83508,Aalborg,Urban,Hovedstaden,4.67,2.41,1.33
2016-01-15,Q4,H100282,Townhouse,New Sale,2007,440642,0.94,4,294,1498.78,977 Sample Street,90865,Aalborg,Urban,Syddanmark,2.31,2.97,2.14
2016-11-29,Q2,H100283,Condo,New Sale,1977,248784,5.04,6,217,1146.47,416 Sample Street,60617,Aarhus,Rural,Syddanmark,4.51,3.27,2.83
2012-12-05,Q4,H100284,Condo,Resale,1975,157096,8.38,9,243,646.49,326 Sample Street,96029,Aalborg,Urban,Syddanmark,2.23,1.18,0.87
2019-06-07,Q4,H100285,Apartment,Resale,2012,142764,-0.41,5,240,594.85,371 Sample Street,28595,Aalborg,Suburban,Midtjylland,3.82,1.42,1.38
2017-01-09,Q3,H100286,Townhouse,Resale,2015,496790,3.28,9,105,4731.33,344 Sample Street,97459,Odense,Suburban,Hovedstaden,2.64,2.29,2.41
2012-11-26,Q3,H100287,Townhouse,Resale,1974,660032,6.84,5,177,3728.99,262 Sample Street,70148,Copenhagen,Urban,Hovedstaden,1.05,1.66,1.87
2016-05-16,Q4,H100288,Condo,Resale,1952,864914,1.24,8,242,3574.02,283 Sample Street,56926,Aalborg,Suburban,Hovedstaden,4.68,3.51,0.42
2019-05-14,Q2,H100289,Townhouse,New Sale,2021,583459,-2.48,1,138,4227.96,850 Sample Street,85271,Aarhus,Rural,Syddanmark,2.54,2.16,1.92
2010-10-29,Q2,H100290,Villa,Resale,1993,675043,2.12,7,158,4272.42,856 Sample Street,44457,Aalborg,Suburban,Syddanmark,3.81,3.3,0.64
2021-09-16,Q1,H100291,Villa,Resale,1991,542148,-4.17,4,39,13901.23,229 Sample Street,52531,Copenhagen,Urban,Syddanmark,2.15,2.53,1.58
2011-08-30,Q1,H100292,Townhouse,Resale,1955,682413,9.14,5,76,8979.12,888 Sample Street,83263,Aalborg,Rural,Syddanmark,0.58,3.21,1.63
2018-09-06,Q2,H100293,Townhouse,Resale,1988,967154,-3.88,6,125,7737.23,280 Sample Street,83300,Odense,Suburban,Nordjylland,0.95,1.66,2.64
2011-12-01,Q3,H100294,Condo,Resale,2001,418226,1.58,5,132,3168.38,870 Sample Street,73171,Copenhagen,Rural,Syddanmark,2.73,3.41,1.44
2013-02-13,Q2,H100295,Villa,Resale,1972,53696,2.95,1,175,306.83,290 Sample Street,55771,Aalborg,Urban,Midtjylland,3.6,1.46,0.91
2010-07-10,Q4,H100296,Villa,Resale,1999,176310,9.78,9,56,3148.39,680 Sample Street,76354,Odense,Suburban,Nordjylland,2.01,2.41,0.77
2016-04-19,Q3,H100297,Apartment,New Sale,1992,987562,-2.51,2,249,3966.11,47 Sample Street,47289,Copenhagen,Rural,Nordjylland,3.63,1.25,2.64
2012-09-07,Q1,H100298,Condo,New Sale,1968,725673,-3.28,9,47,15439.85,975 Sample Street,43892,Aalborg,Rural,Syddanmark,3.64,2.16,0.6
2018-02-23,Q2,H100299,Apartment,Resale,2018,855581,-4.87,2,196,4365.21,715 Sample Street,81196,Odense,Suburban,Hovedstaden,3.67,1.61,1.34
2013-03-30,Q3,H100300,Villa,New Sale,2000,966496,-2.67,9,111,8707.17,214 Sample Street,48409,Aarhus,Rural,Syddanmark,2.72,1.43,0.64
2019-02-10,Q3,H100301,Condo,New Sale,1960,889953,-1.89,6,101,8811.42,758 Sample Street,44470,Odense,Rural,Hovedstaden,4.62,3.88,2.34
2019-04-18,Q3,H100302,Townhouse,New Sale,1961,95740,4.46,9,283,338.3,24 Sample Street,28385,Aarhus,Urban,Syddanmark,2.7,1.06,1.48
2010-05-08,Q1,H100303,Condo,New Sale,1957,156611,-1.7,6,191,819.95,321 Sample Street,33296,Aalborg,Urban,Syddanmark,2.53,3.26,1.12
2015-08-28,Q2,H100304,Townhouse,Resale,1973,448172,-4.69,6,67,6689.13,274 Sample Street,71716,Odense,Urban,Hovedstaden,1.4,3.94,1.15
2014-12-22,Q2,H100305,Townhouse,New Sale,1990,518947,7.4,2,230,2256.29,556 Sample Street,99152,Aarhus,Urban,Hovedstaden,1.88,0.57,2.57
2011-07-24,Q3,H100306,Condo,New Sale,1985,525828,0.48,8,229,2296.19,844 Sample Street,36382,Copenhagen,Urban,Hovedstaden,0.69,2.95,1.71
2015-03-11,Q3,H100307,Townhouse,New Sale,2021,823210,0.31,3,284,2898.63,313 Sample Street,86675,Odense,Urban,Hovedstaden,3.35,1.39,2.18
2017-06-26,Q2,H100308,Apartment,Resale,2004,378785,-0.46,7,208,1821.08,363 Sample Street,32419,Aalborg,Suburban,Midtjylland,1.62,0.64,2.7
2020-07-30,Q2,H100309,Villa,Resale,1958,638099,9.63,5,64,9970.3,668 Sample Street,91238,Copenhagen,Urban,Hovedstaden,1.87,1.91,2.72
2022-12-05,Q2,H100310,Townhouse,Resale,1996,495376,-2.45,3,111,4462.85,380 Sample Street,49291,Aarhus,Rural,Syddanmark,3.97,3.77,1.05
2020-12-28,Q1,H100311,Apartment,Resale,1964,756673,8.47,1,249,3038.85,711 Sample Street,22397,Odense,Suburban,Syddanmark,1.97,0.54,2.86
2017-12-11,Q4,H100312,Townhouse,Resale,1997,637520,6.65,8,187,3409.2,919 Sample Street,67888,Odense,Rural,Midtjylland,1.59,2.56,0.17
2014-08-14,Q4,H100313,Villa,Resale,1991,851849,-3.85,3,33,25813.61,981 Sample Street,45169,Aalborg,Urban,Hovedstaden,1.26,2.25,1.19
2018-03-29,Q1,H100314,Apartment,Resale,2009,730089,9.8,2,196,3724.94,674 Sample Street,72182,Copenhagen,Urban,Syddanmark,3.99,3.56,2.7
2010-06-04,Q4,H100315,Villa,New Sale,2019,162492,-0.93,1,233,697.39,907 Sample Street,52249,Odense,Rural,Midtjylland,1.08,0.79,0.9
2016-12-12,Q1,H100316,Villa,New Sale,1961,80099,-3.52,4,223,359.19,470 Sample Street,38341,Odense,Rural,Syddanmark,2.54,2.89,0.89
2013-11-10,Q1,H100317,Apartment,New Sale,1951,803494,7.44,8,264,3043.54,746 Sample Street,85603,Copenhagen,Rural,Midtjylland,2.78,2.88,0.98
2021-02-09,Q2,H100318,Apartment,Resale,1956,473177,5.6,3,235,2013.52,675 Sample Street,56144,Odense,Suburban,Midtjylland,3.59,2.84,1.88
2012-02-24,Q2,H100319,Apartment,Resale,1952,980106,4.26,1,179,5475.45,116 Sample Street,71772,Copenhagen,Urban,Nordjylland,3.35,3.8,1.37
2018-09-11,Q3,H100320,Condo,Resale,1952,692762,-2.66,4,188,3684.9,605 Sample Street,89360,Copenhagen,Rural,Nordjylland,4.15,3.38,2.21
2021-11-20,Q1,H100321,Apartment,Resale,1976,321400,2.18,9,195,1648.21,42 Sample Street,23444,Copenhagen,Urban,Hovedstaden,0.7,0.65,2.7
2017-09-07,Q1,H100322,Apartment,Resale,1989,529336,6.71,1,97,5457.07,796 Sample Street,55647,Aalborg,Rural,Nordjylland,1.83,2.15,2.06
2011-06-22,Q3,H100323,Apartment,New Sale,1982,817876,-0.45,2,117,6990.39,379 Sample Street,20974,Copenhagen,Urban,Midtjylland,1.76,1.89,0.69
2015-01-16,Q4,H100324,Apartment,New Sale,1950,608969,-0.32,9,246,2475.48,722 Sample Street,48383,Copenhagen,Suburban,Syddanmark,1.16,1.59,2.8
2016-09-21,Q1,H100325,Townhouse,Resale,1957,141328,-4.95,2,30,4710.93,206 Sample Street,91552,Aarhus,Urban,Syddanmark,1.8,2.08,0.87
2011-06-09,Q4,H100326,Condo,Resale,1981,792800,-2.39,3,164,4834.15,466 Sample Street,12956,Aarhus,Rural,Hovedstaden,1.89,1.84,0.53
2018-01-29,Q1,H100327,Villa,Resale,1997,355505,8.13,7,214,1661.24,732 Sample Street,18077,Aalborg,Urban,Nordjylland,2.85,2.01,0.36
2021-04-24,Q1,H100328,Apartment,Resale,1953,507719,1.63,3,169,3004.25,280 Sample Street,46490,Copenhagen,Suburban,Hovedstaden,3.49,3.93,1.73
